NB_WKEND,Mangonia Park,West Palm Beach,Lake Worth,Boynton Beach,Delray Beach,Boca Raton,Deerfield Beach,Pompano Beach,Cypress Creek,Fort Lauderdale,Fort Lauderdale Airport,Sheridan Street,Hollywood,Golden Glades,Opa-Locka,Metrorail Transfer,Hialeah Market/Miami Airport,isWeekday,isLStop,isSouthbound,isMetroRailShuttle
P600,4:18,4:23,4:29,4:35,4:43,4:47,4:51,5:00,5:06,5:12,5:18,5:25,5:30,6:05,5:38,5:44,5:55,TRUE,TRUE,FALSE,FALSE
P602,4:48,4:54,5:00,5:06,5:15,5:19,5:23,5:32,5:39,5:45,5:51,5:59,6:04,6:40,6:13,6:19,6:30,TRUE,TRUE,FALSE,FALSE
P604,5:13,5:19,5:25,5:31,5:40,5:44,5:48,5:57,6:04,6:10,6:16,6:24,6:29,6:38,6:44,6:55,7:05,TRUE,FALSE,FALSE,FALSE
P606,5:38,5:49,5:55,6:01,6:10,6:14,6:18,6:27,6:34,6:40,6:46,6:54,6:59,7:08,7:14,7:25,7:35,TRUE,FALSE,FALSE,FALSE
P608,6:03,6:09,6:15,6:21,6:30,6:34,6:38,6:47,6:54,7:00,7:06,7:14,7:19,7:28,7:34,7:45,7:55,TRUE,FALSE,FALSE,FALSE
P610,6:23,6:29,6:35,6:41,6:50,6:54,6:58,7:07,7:14,7:20,7:26,7:34,7:39,7:48,7:54,8:05,8:15,TRUE,FALSE,FALSE,FALSE
P612,7:03,7:09,7:15,7:21,7:30,7:34,7:38,7:47,7:54,8:00,8:06,8:14,8:19,8:28,8:34,8:45,8:55,TRUE,FALSE,FALSE,FALSE
P614,7:43,7:49,7:55,8:01,8:10,8:14,8:18,8:27,8:34,8:40,8:46,8:54,8:59,9:08,9:14,9:25,9:35,TRUE,FALSE,FALSE,FALSE
P616,8:23,8:30,8:36,8:43,8:52,8:56,9:00,9:09,9:16,9:23,9:29,9:38,9:44,9:53,9:59,10:10,10:20,TRUE,FALSE,FALSE,FALSE
P618,9:23,9:30,9:36,9:43,9:52,9:56,10:00,10:09,10:16,10:23,10:29,10:38,10:44,10:53,10:59,11:10,11:20,TRUE,FALSE,FALSE,FALSE
P620,10:23,10:30,10:36,10:43,10:52,10:56,11:00,11:09,11:16,11:23,11:29,11:38,11:44,11:53,11:59,12:10,12:20,TRUE,FALSE,FALSE,FALSE
P622,11:23,11:30,11:36,11:43,11:52,11:56,12:00,12:09,12:16,12:23,12:29,12:38,12:44,12:53,12:59,1:10,1:20,TRUE,FALSE,FALSE,FALSE
P624,12:23,12:30,12:36,12:43,12:52,12:56,13:00,13:09,13:16,13:23,13:29,13:38,13:44,13:53,13:59,14:10,14:20,TRUE,FALSE,FALSE,FALSE
P626,13:23,13:30,13:36,13:43,13:52,13:56,14:00,14:09,14:16,14:23,14:29,14:38,14:44,14:53,14:59,15:10,15:20,TRUE,FALSE,FALSE,FALSE
P628,14:23,14:30,14:36,14:43,14:52,14:56,15:00,15:09,15:16,15:23,15:29,15:38,15:44,15:53,15:59,16:10,16:20,TRUE,FALSE,FALSE,FALSE
P630,15:13,15:20,15:26,15:33,15:42,15:46,15:50,15:59,16:06,16:13,16:19,16:28,16:34,16:43,16:49,17:00,17:10,TRUE,FALSE,FALSE,FALSE
P632,15:53,16:09,16:15,16:21,16:30,16:34,16:38,16:47,16:54,17:00,17:06,17:14,17:19,17:28,17:34,17:45,17:55,TRUE,FALSE,FALSE,FALSE
P634,16:33,16:39,16:45,16:51,17:00,17:04,17:08,17:17,17:24,17:30,17:36,17:44,17:49,17:58,18:04,18:15,18:25,TRUE,FALSE,FALSE,FALSE
P636,16:53,16:59,17:05,17:11,17:20,17:24,17:28,17:37,17:44,17:50,17:56,18:04,18:09,18:18,18:24,18:35,18:45,TRUE,FALSE,FALSE,FALSE
P638,17:00,17:29,17:35,17:41,17:50,17:54,17:58,18:07,18:14,18:20,18:26,18:34,18:39,18:48,18:54,19:05,19:15,TRUE,FALSE,FALSE,TRUE
P640,17:51,17:57,18:03,18:09,18:18,18:22,18:26,18:35,18:42,18:48,18:54,19:02,19:07,19:16,19:22,19:33,19:43,TRUE,FALSE,FALSE,FALSE
P642,17:58,18:29,18:35,18:41,18:50,18:54,18:58,19:07,19:14,19:20,19:26,19:34,19:39,19:48,19:54,20:05,20:15,TRUE,FALSE,FALSE,TRUE
P644,18:53,18:59,19:05,19:11,19:20,19:24,19:28,19:37,19:44,19:50,19:56,20:04,20:09,20:18,20:24,20:35,20:45,TRUE,FALSE,FALSE,FALSE
P646,19:53,19:59,20:05,20:11,20:20,20:24,20:28,20:37,20:44,20:50,20:56,21:04,21:09,21:18,21:24,21:35,21:45,TRUE,TRUE,FALSE,FALSE
P648,21:43,21:49,21:55,22:01,22:10,22:14,22:18,22:27,22:34,22:40,22:46,22:54,22:59,23:08,23:14,23:25,23:35,TRUE,TRUE,FALSE,FALSE
