NB_WKEND,Mangonia Park,West Palm Beach,Lake Worth,Boynton Beach,Delray Beach,Boca Raton,Deerfield Beach,Pompano Beach,Cypress Creek,Fort Lauderdale,Fort Lauderdale Airport,Sheridan Street,Hollywood,Golden Glades,Opa-Locka,Metrorail Transfer,Hialeah Market/Miami Airport,isWeekday,isLStop,isSouthbound,isMetroRailShuttle
P660,5:20,5:27,5:33,5:39,5:49,5:53,5:57,6:05,6:12,6:19,6:25,6:33,6:39,6:48,6:54,7:05,7:20,FALSE,FALSE,FALSE,FALSE
P662,6:20,6:27,6:33,6:39,6:49,6:53,6:57,7:05,7:12,7:19,7:25,7:33,7:39,7:48,7:54,8:05,8:20,FALSE,FALSE,FALSE,FALSE
P664,7:20,7:27,7:33,7:39,7:49,7:53,7:57,8:05,8:12,8:19,8:25,8:33,8:39,8:48,8:54,9:05,9:20,FALSE,FALSE,FALSE,FALSE
P666,8:20,8:27,8:33,8:39,8:49,8:53,8:57,9:05,9:12,9:19,9:25,9:33,9:39,9:48,9:54,10:05,10:25,FALSE,FALSE,FALSE,FALSE
P668,9:20,9:27,9:33,9:39,9:49,9:53,9:57,10:05,10:12,10:19,10:25,10:33,10:39,10:48,10:54,11:05,11:20,FALSE,FALSE,FALSE,FALSE
P670,10:20,10:27,10:33,10:39,10:49,10:53,10:57,11:05,11:12,11:19,11:25,11:33,11:39,11:48,11:54,12:05,12:20,FALSE,FALSE,FALSE,FALSE
P672,11:20,11:27,11:33,11:39,11:49,11:53,11:57,12:05,12:12,12:19,12:25,12:33,12:39,12:48,12:54,13:05,13:20,FALSE,FALSE,FALSE,FALSE
P674,12:20,12:27,12:33,12:39,12:49,12:53,12:57,13:05,13:12,13:19,13:25,13:33,13:39,13:48,13:54,14:05,14:20,FALSE,FALSE,FALSE,FALSE
P676,13:20,13:27,13:33,13:39,13:49,13:53,13:57,14:05,14:12,14:19,14:25,14:33,14:39,14:48,14:54,15:05,15:20,FALSE,FALSE,FALSE,FALSE
P678,14:20,14:27,14:33,14:39,14:49,14:53,14:57,15:05,15:12,15:19,15:25,15:33,15:39,15:48,15:54,16:05,16:20,FALSE,FALSE,FALSE,FALSE
P680,15:20,15:27,15:33,15:39,15:49,15:53,15:57,16:05,16:12,16:19,16:25,16:33,16:39,16:48,16:54,17:05,17:20,FALSE,FALSE,FALSE,FALSE
P682,16:20,16:27,16:33,16:39,16:49,16:53,16:57,17:05,17:12,17:19,17:25,17:33,17:39,17:48,17:54,18:05,18:20,FALSE,FALSE,FALSE,FALSE
P684,17:20,17:27,17:33,17:39,17:49,17:53,17:57,18:05,18:12,18:19,18:25,18:33,18:39,18:48,18:54,19:05,19:20,FALSE,FALSE,FALSE,FALSE
P686,18:20,18:27,18:33,18:39,18:49,18:53,18:57,19:05,19:12,19:19,19:25,19:33,19:39,19:48,19:54,20:05,20:20,FALSE,FALSE,FALSE,FALSE
P688,21:45,21:52,21:58,22:04,22:14,22:18,22:22,22:30,22:37,22:44,22:50,22:58,23:04,23:13,23:19,23:30,23:45,FALSE,FALSE,FALSE,FALSE
