SB_WKDAY,Mangonia Park,West Palm Beach,Lake Worth,Boynton Beach,Delray Beach,Boca Raton,Deerfield Beach,Pompano Beach,Cypress Creek,Fort Lauderdale,Fort Lauderdale Airport,Sheridan Street,Hollywood,Golden Glades,Opa-Locka,Metrorail Transfer,Hialeah Market/Miami Airport,isWeekday,isLStop,isSouthbound,isMetroRailShuttle
P601,4:00,4:06,4:15,4:20,4:29,4:35,4:42,4:48,4:54,5:01,5:08,5:12,5:16,5:25,5:31,5:38,5:44,TRUE,TRUE,TRUE,FALSE
P603,4:40,4:46,4:56,5:02,5:11,5:17,5:24,5:30,5:37,5:45,5:53,5:57,6:01,6:10,6:16,6:23,6:29,TRUE,TRUE,TRUE,FALSE
P605,5:20,5:26,5:36,5:42,5:51,5:57,6:04,6:10,6:17,6:25,6:33,6:37,6:41,6:50,6:56,7:03,7:09,TRUE,FALSE,TRUE,FALSE
P607,6:00,6:06,6:16,6:22,6:31,6:37,6:44,6:50,6:57,7:05,7:13,7:17,7:21,7:30,7:36,7:43,7:49,TRUE,FALSE,TRUE,FALSE
P609,6:20,6:26,6:36,6:42,6:51,6:57,7:04,7:10,7:17,7:25,7:33,7:37,7:41,7:50,7:56,8:03,8:09,TRUE,FALSE,TRUE,FALSE
P611,6:40,6:46,6:56,7:02,7:11,7:17,7:24,7:30,7:37,7:45,7:53,7:57,8:01,8:10,8:16,8:23,8:29,TRUE,FALSE,TRUE,FALSE
P613,7:00,7:06,7:16,7:22,7:31,7:37,7:44,7:50,7:57,8:05,8:13,8:17,8:21,8:30,8:36,8:43,8:49,TRUE,FALSE,TRUE,FALSE
P615,7:30,7:36,7:46,7:52,8:01,8:07,8:14,8:20,8:27,8:35,8:43,8:47,8:51,9:00,9:06,9:13,9:19,TRUE,FALSE,TRUE,FALSE
P617,8:00,8:06,8:16,8:22,8:31,8:37,8:44,8:50,8:57,9:05,9:13,9:17,9:21,9:30,9:36,9:43,9:49,TRUE,FALSE,TRUE,FALSE
P619,9:00,9:06,9:16,9:22,9:31,9:37,9:44,9:50,9:58,10:08,10:17,10:21,10:26,10:35,10:41,10:48,10:54,TRUE,FALSE,TRUE,FALSE
P621,10:00,10:06,10:16,10:22,10:31,10:37,10:44,10:50,10:58,11:08,11:17,11:21,11:26,11:35,11:41,11:48,11:54,TRUE,FALSE,TRUE,FALSE
P623,11:00,11:06,11:16,11:22,11:31,11:37,11:44,11:50,11:58,12:08,12:17,12:21,12:26,12:35,12:41,12:48,12:54,TRUE,FALSE,TRUE,FALSE
P625,12:00,12:06,12:16,12:22,12:31,12:37,12:44,12:50,12:58,13:08,13:17,13:21,13:26,13:35,13:41,13:48,13:54,TRUE,FALSE,TRUE,FALSE
P627,13:00,13:06,13:16,13:22,13:31,13:37,13:44,13:50,13:58,14:08,14:17,14:21,14:26,14:35,14:41,14:48,14:54,TRUE,FALSE,TRUE,FALSE
P629,14:00,14:06,14:16,14:22,14:31,14:37,14:44,14:50,14:58,15:08,15:17,15:21,15:26,15:35,15:41,15:48,15:56,TRUE,FALSE,TRUE,FALSE
P631,15:00,15:06,15:16,15:22,15:31,15:37,15:44,15:50,15:58,16:08,16:17,16:21,16:26,16:35,16:41,16:48,17:12,TRUE,FALSE,TRUE,TRUE
P633,15:30,15:36,15:46,15:52,16:01,16:07,16:14,16:20,16:28,16:38,16:47,16:51,16:56,17:05,17:11,17:18,17:26,TRUE,FALSE,TRUE,FALSE
P635,16:00,16:06,16:16,16:22,16:31,16:37,16:44,16:50,16:58,17:08,17:17,17:21,17:26,17:35,17:41,17:48,18:12,TRUE,FALSE,TRUE,TRUE
P637,16:25,16:31,16:41,16:47,16:56,17:02,17:09,17:15,17:23,17:33,17:42,17:46,17:51,18:00,18:06,18:13,18:21,TRUE,FALSE,TRUE,FALSE
P639,17:00,17:06,17:16,17:22,17:31,17:37,17:44,17:50,17:58,18:08,18:17,18:21,18:26,18:35,18:41,18:48,18:56,TRUE,FALSE,TRUE,FALSE
P641,17:30,17:36,17:46,17:52,18:01,18:07,18:14,18:20,18:27,18:35,18:43,18:47,18:51,19:00,19:06,19:13,19:19,TRUE,FALSE,TRUE,FALSE
P643,18:15,18:21,18:31,18:37,18:46,18:52,18:59,19:05,19:12,19:20,19:28,19:32,19:36,19:45,19:51,19:58,20:04,TRUE,FALSE,TRUE,FALSE
P645,18:45,18:51,19:01,19:07,19:16,19:22,19:29,19:35,19:42,19:50,19:58,20:02,20:06,20:15,20:21,20:28,20:34,TRUE,FALSE,TRUE,FALSE
P647,19:40,19:46,19:56,20:02,20:11,20:17,20:24,20:30,20:37,20:45,20:53,20:57,21:01,21:10,21:16,21:23,21:29,TRUE,TRUE,TRUE,FALSE
P649,20:40,20:46,20:56,21:02,21:11,21:17,21:24,21:30,21:37,21:45,21:53,21:57,22:01,22:10,22:16,22:23,22:29,TRUE,TRUE,TRUE,FALSE
