SB_WKEND,Mangonia Park,West Palm Beach,Lake Worth,Boynton Beach,Delray Beach,Boca Raton,Deerfield Beach,Pompano Beach,Cypress Creek,Fort Lauderdale,Fort Lauderdale Airport,Sheridan Street,Hollywood,Golden Glades,Opa-Locka,Metrorail Transfer,Hialeah Market/Miami Airport,isWeekday,isLStop,isSouthbound,isMetroRailShuttle
P661,5:50,5:58,6:08,6:14,6:23,6:29,6:36,6:41,6:48,6:56,7:03,7:07,7:11,7:20,7:25,7:32,7:50,FALSE,FALSE,TRUE,FALSE
P663,6:50,6:58,7:08,7:14,7:23,7:29,7:36,7:41,7:48,7:56,8:03,8:07,8:11,8:20,8:25,8:32,8:50,FALSE,FALSE,TRUE,FALSE
P665,7:50,7:58,8:08,8:14,8:23,8:29,8:36,8:41,8:48,8:56,9:03,9:07,9:11,9:20,9:25,9:32,9:50,FALSE,FALSE,TRUE,FALSE
P667,8:50,8:58,9:08,9:14,9:23,9:29,9:36,9:41,9:48,9:56,10:03,10:07,10:11,10:20,10:25,10:32,10:50,FALSE,FALSE,TRUE,FALSE
P669,9:50,9:58,10:08,10:14,10:23,10:29,10:36,10:41,10:48,10:56,11:03,11:07,11:11,11:20,11:25,11:32,11:50,FALSE,FALSE,TRUE,FALSE
P671,10:50,10:58,11:08,11:14,11:23,11:29,11:36,11:41,11:48,11:56,12:03,12:07,12:11,12:20,12:25,12:32,12:50,FALSE,FALSE,TRUE,FALSE
P673,11:50,11:58,12:08,12:14,12:23,12:29,12:36,12:41,12:48,12:56,13:03,13:07,13:11,13:20,13:25,13:32,13:50,FALSE,FALSE,TRUE,FALSE
P675,12:50,12:58,13:08,13:14,13:23,13:29,13:36,13:41,13:48,13:56,14:03,14:07,14:11,14:20,14:25,14:32,14:50,FALSE,FALSE,TRUE,FALSE
P677,13:50,13:58,14:08,14:14,14:23,14:29,14:36,14:41,14:48,14:56,15:03,15:07,15:11,15:20,15:25,15:32,15:50,FALSE,FALSE,TRUE,FALSE
P679,14:50,14:58,15:08,15:14,15:23,15:29,15:36,15:41,15:48,15:56,16:03,16:07,16:11,16:20,16:25,16:32,16:50,FALSE,FALSE,TRUE,FALSE
P681,15:50,15:58,16:08,16:14,16:23,16:29,16:36,16:41,16:48,16:56,17:03,17:07,17:11,17:20,17:25,17:32,17:50,FALSE,FALSE,TRUE,FALSE
P683,16:50,16:58,17:08,17:14,17:23,17:29,17:36,17:41,17:48,17:56,18:03,18:07,18:11,18:20,18:25,18:32,18:50,FALSE,FALSE,TRUE,FALSE
P685,17:50,17:58,18:08,18:14,18:23,18:29,18:36,18:41,18:48,18:56,19:03,19:07,19:11,19:20,19:25,19:32,19:50,FALSE,FALSE,TRUE,FALSE
P687,18:50,18:58,19:08,19:14,19:23,19:29,19:36,19:41,19:48,19:56,20:03,20:07,20:11,20:20,20:25,20:32,20:50,FALSE,FALSE,TRUE,FALSE
P689,21:00,21:08,21:18,21:24,21:33,21:39,21:46,21:51,21:58,22:06,22:13,22:17,22:21,22:30,22:35,22:42,23:00,FALSE,FALSE,TRUE,FALSE
